slug,name,region,district,category,gender
tsito-senior-high-tech,Tsito Senior High/Tech,Volta,Ho West,C,Mixed
tumu-senior-high-tech,Tumu Senior High/Tech.,Upper West,Sisala East,C,Mixed
tuna-senior-high-tech,Tuna Senior High/Tech.,Savannah,Sawla Tuna Kalba,C,Mixed
tuobodom-senior-high-tech,Tuobodom Senior High/Tech,Bono East,Techiman North,B,Mixed
tutu-methodist-technical-institute,Tutu Methodist Technical Institute,Eastern,Akwapim North Municipal,C,Mixed
tweapease-senior-high-school,Tweapease Senior High School,Ashanti,Amansie Central,C,Mixed
twedie-technical-institute,Twedie Technical Institute,Ashanti,Atwima Kwanwoma,C,Mixed
twene-amanfo-senior-high-tech,Twene Amanfo Senior High/Tech.,Bono,Sunyani,B,Mixed
twereku-ampem-senior-high-school,Twereku Ampem Senior High School,Ahafo,Asutifi North,C,Mixed
twifo-hemang-senior-high-tech,Twifo Hemang Senior High/Tech,Central,Twifo Hemang Lower Denkyira,B,Mixed
twifo-praso-senior-high,Twifo Praso Senior High,Central,Twifo Ati-Morkwa,B,Mixed
ullo-senior-high,Ullo Senior High,Upper West,Jirapa,C,Mixed
university-practice-senior-high,University Practice Senior High,Central,Cape Coast,B,Mixed
uthman-bin-afam-shs,Uthman Bin Affan Islamic SHS,Western,Ellembele,C,Mixed
uthmaniya-senior-high-tafo,"Uthmaniya Senior High, Tafo",Ashanti,Kumasi Metro,C,Mixed
vakpo-senior-high,Vakpo Senior High,Volta,North Dayi,B,Mixed
vakpo-senior-high-tech,Vakpo Senior High/Tech,Volta,North Dayi,C,Mixed
ve-comm-senior-high,Ve Comm. Senior High,Volta,Afadzto South,C,Mixed
ve-golokwati-technical-institute,Ve- Golokwati Technical Institute,Volta,Afadzto South,C,Mixed
vitting-senior-high-tech,Vitting Senior High/Tech.,Northern,Tamale Metro,C,Mixed
volo-comm-senior-high,Volo Comm. Senior High,Volta,North Tongu,C,Mixed
volta-senior-high-school,Volta Senior High School,Volta,Anlo Keta,C,Mixed
volta-tech-inst,Volta Tech Inst,Volta,Ho Municipal,C,Mixed
wa-senior-high,Wa Senior High .,Upper West,Wa Municipal,B,Mixed
wa-senior-high-tech,Wa Senior High/Tech.,Upper West,Wa Municipal,C,Mixed
walewale-senior-high,Walewale Senior High,North East,West Mamprusi,C,Mixed
walewale-tech-voc-inst,Walewale Technical Institute,North East,West Mampusi,C,Mixed
wamanafo-senior-high-tech,Wamanafo Senior High/Tech,Bono,Dormaa East,B,Mixed
wapuli-comm-senior-high,Wapuli Comm. Senior High,Northern,Saboba,C,Mixed
wesley-high-school-bekwai,"Wesley High School, Bekwai",Ashanti,Bekwai,C,Mixed
wesley-senior-high-konongo,"Wesley Senior High, Konongo .",Ashanti,Asante Akim Central Municipal,B,Mixed
weta-senior-high-tech,Weta Senior High/Tech.,Volta,Ketu North,C,Mixed
wiafe-akenten-presby-senior-high,Wiafe Akenten Presby Senior High,Ashanti,Offinso North,C,Mixed
wiaga-comm-senior-high,Wiaga Comm. Senior High,Upper East,Builsa North,C,Mixed
wioso-shs,Wioso SHS,Ashanti,Ahafo-Ano South West,C,Mixed
woe-technical-institute,Woe Technical Institute,Volta,Keta Municipal,C,Mixed
worawora-senior-high,Worawora Senior High,Oti,Biakoye,C,Mixed
wovenu-senior-high-technical,Wovenu Senior High Technical,Volta,Ketu North,C,Mixed
wulensi-senior-high,Wulensi Senior High,Northern,Nanumba South,C,Mixed
wulugu-senior-high,Wulugu Senior High,North East,West Mamprusi,C,Mixed
yaa-pokua-technical-institute,Yaa Pokua Technical Institute,Ashanti,Offinso North,C,Mixed
yabram-comm-day-school,Yabram Comm. Day School,Oti,Krachi East,C,Mixed
yagaba-senior-high-school,Yagaba Senior High School,North East,Mamprugu Moaduri,C,Mixed
yamfo-anglican-senior-high-school,Yamfo Anglican Senior High School,Ahafo,Tano North,B,Mixed
yamfo-technical-institute,Yamfo Technical Institute,Ahafo,Tano North,A,Mixed
yeboah-asuamah-senior-high,Yeboah Asuamah Senior High,Bono East,Techiman,B,Mixed
yeji-senior-high-tech,Yeji Senior High/Tech,Bono East,Pru,B,Mixed
yendi-senior-high,Yendi Senior High,Northern,Yendi,B,Mixed
yizesi-senior-high-school,Yizesi Senior High School,North East,Mamprugu Moaduri,C,Mixed
yunyoo-senior-high-school,Yunyoo Senior High School,North East,Yunyoo-Nasuan,C,Mixed
zabzugu-senior-high,Zabzugu Senior High,Northern,Zabzugu,C,Mixed
zabzugu-technical-institute,Zabzugu Technical Institute,Northern,Zabzugu,C,Mixed
zamse-senior-high-tech,Zamse Senior High/Tech,Upper East,Bolgatanga Municipal,C,Mixed
zebilla-senior-high-tech,Zebilla Senior High/Tech,Upper East,Bawku West,B,Mixed
akpafu-senior-high-tech,Ziavi Senior High/Tech,Volta,Ho Municipal,C,Mixed
ziope-senior-high-sch,Ziope Senior High Sch.,Volta,Agortime Ziope,C,Mixed
zorkor-senior-high,Zorkor Senior High,Upper East,Bongo,C,Mixed
zugu-dabogni-technical-institute,Zugu Dabogni Technical Institute,Northern,Kumbungu,C,Mixed
